epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,65925.3,0.95753,1.45522,1.14947,0.82,0.82638,0.88087,0.50744,1.2203,1.50702,1.1453,0.00412246,0.00412246,0.00412246
170,66310.1,0.95919,1.47087,1.14392,0.84145,0.82825,0.89109,0.51527,1.21527,1.52195,1.159,0.0040716,0.0040716,0.0040716
171,66692.6,0.94956,1.43713,1.13736,0.85269,0.82654,0.89023,0.5102,1.23874,1.5376,1.15632,0.00402084,0.00402084,0.00402084
172,67080,0.95521,1.44839,1.1407,0.85319,0.79975,0.87093,0.52024,1.19877,1.48419,1.13511,0.00397019,0.00397019,0.00397019
173,67467,0.98077,1.48145,1.14977,0.86789,0.81116,0.8733,0.51307,1.21816,1.50496,1.14029,0.00391966,0.00391966,0.00391966
174,67849.9,0.95057,1.4569,1.13314,0.82901,0.78005,0.83102,0.51177,1.21346,1.5011,1.14141,0.00386926,0.00386926,0.00386926
175,68235,0.94419,1.44474,1.14088,0.80387,0.81044,0.84136,0.51132,1.23816,1.53419,1.15541,0.00381899,0.00381899,0.00381899
176,68621.1,0.9503,1.43751,1.135,0.81809,0.75798,0.81457,0.51052,1.21779,1.52514,1.14714,0.00376885,0.00376885,0.00376885
177,69005.6,0.93169,1.40709,1.12839,0.83997,0.83205,0.89488,0.52306,1.23079,1.53372,1.14741,0.00371885,0.00371885,0.00371885
178,69388.9,0.94574,1.41178,1.13101,0.85907,0.84746,0.90103,0.53133,1.22138,1.52767,1.14294,0.00366899,0.00366899,0.00366899
179,69773.6,0.95311,1.44308,1.14417,0.87198,0.82515,0.89496,0.51376,1.24949,1.53946,1.15709,0.00361929,0.00361929,0.00361929
